,bid_prc1,bid_vol1,ask_prc1,ask_vol1,bid_prc2,bid_vol2,ask_prc2,ask_vol2,bid_prc3,bid_vol3,ask_prc3,ask_vol3,bid_prc4,bid_vol4,ask_prc4,ask_vol4,bid_prc5,bid_vol5,ask_prc5,ask_vol5,bid_prc6,bid_vol6,ask_prc6,ask_vol6,bid_prc7,bid_vol7,ask_prc7,ask_vol7,bid_prc8,bid_vol8,ask_prc8,ask_vol8,bid_prc9,bid_vol9,ask_prc9,ask_vol9,bid_prc10,bid_vol10,ask_prc10,ask_vol10,bid_prc11,bid_vol11,ask_prc11,ask_vol11,bid_prc12,bid_vol12,ask_prc12,ask_vol12,bid_prc13,bid_vol13,ask_prc13,ask_vol13,bid_prc14,bid_vol14,ask_prc14,ask_vol14,bid_prc15,bid_vol15,ask_prc15,ask_vol15,bid_prc16,bid_vol16,ask_prc16,ask_vol16,bid_prc17,bid_vol17,ask_prc17,ask_vol17,bid_prc18,bid_vol18,ask_prc18,ask_vol18,bid_prc19,bid_vol19,ask_prc19,ask_vol19,bid_prc20,bid_vol20,ask_prc20,ask_vol20,date
0,59199.87,1.9215,59199.88,4.42224,59199.83,9e-05,59200.0,0.08318,59199.19,0.00018,59200.2,0.00169,59199.07,0.05577,59201.37,0.086,59198.08,0.00043,59201.38,0.14322,59198.01,0.14191,59201.39,0.00169,59198.0,0.123,59202.0,0.083,59197.99,0.0001,59202.24,0.04223,59197.83,0.23643,59202.53,0.0761,59197.81,0.04886,59202.57,0.00169,59197.51,0.04224,59202.62,0.0763,59196.77,0.04693,59202.85,0.00016,59196.19,0.1359,59203.76,0.00169,59196.0,0.083,59204.0,0.083,59195.56,0.05607,59204.21,0.2364,59195.44,0.1126,59204.94,0.00169,59195.09,0.04222,59205.12,0.00018,59195.05,0.06442,59205.39,0.00013,59194.63,0.0034,59205.59,0.17554,59194.08,0.00018,59205.65,0.29241,2024-07-13 23:59:33.945000
1,59199.87,1.9215,59199.88,4.46489,59199.81,9e-05,59200.0,0.08318,59199.19,0.00018,59200.2,0.00169,59199.07,0.05577,59201.37,0.086,59198.08,0.00043,59201.38,0.14322,59198.01,0.14191,59201.39,0.00169,59198.0,0.123,59202.0,0.083,59197.99,0.0001,59202.24,0.04223,59197.83,0.23643,59202.53,0.0761,59197.81,0.04886,59202.57,0.00169,59197.51,0.04224,59202.62,0.0763,59196.77,0.04693,59202.85,0.00016,59196.19,0.04983,59203.76,0.00169,59196.0,0.083,59204.0,0.083,59195.56,0.05607,59204.21,0.2364,59195.44,0.1126,59204.94,0.00169,59195.09,0.04222,59205.12,0.00018,59195.05,0.06442,59205.39,0.00013,59194.63,0.0034,59205.59,0.17554,59194.08,0.00018,59205.65,0.29241,2024-07-13 23:59:34.045000
2,59199.87,1.9215,59199.88,3.86025,59199.79,9e-05,59200.0,0.08318,59199.19,0.00018,59200.2,0.00169,59198.08,0.00043,59201.37,0.086,59198.01,0.14191,59201.38,0.14322,59198.0,0.083,59201.39,0.00169,59197.99,0.0001,59202.0,0.083,59197.83,0.23643,59202.24,0.04223,59197.81,0.04886,59202.53,0.0761,59197.51,0.04224,59202.57,0.00169,59196.77,0.04693,59202.62,0.0763,59196.19,0.04983,59202.85,0.00016,59196.0,0.083,59203.76,0.00169,59195.56,0.05607,59204.0,0.083,59195.44,0.1126,59204.21,0.2364,59195.09,0.04222,59204.94,0.00169,59195.05,0.06442,59205.12,0.00018,59194.63,0.0034,59205.39,0.00013,59194.6,0.04,59205.59,0.17554,59194.08,0.00018,59205.65,0.29241,2024-07-13 23:59:34.145000
3,59199.87,1.9215,59199.88,3.86025,59199.19,0.00018,59200.0,0.08318,59199.17,9e-05,59200.2,0.00169,59198.08,0.00043,59201.37,0.086,59198.01,0.14191,59201.38,0.14322,59198.0,0.083,59201.39,0.00169,59197.99,0.0001,59202.0,0.083,59197.83,0.23643,59202.24,0.04223,59197.81,0.04886,59202.53,0.0761,59197.51,0.04224,59202.57,0.00169,59196.77,0.04693,59202.62,0.0763,59196.19,0.04983,59202.85,0.00016,59196.0,0.083,59203.76,0.00169,59195.56,0.05607,59204.0,0.083,59195.44,0.1126,59204.21,0.2364,59195.09,0.04222,59204.94,0.00169,59195.05,0.06442,59205.12,0.00018,59194.63,0.0034,59205.39,0.00013,59194.6,0.04,59205.59,0.17554,59194.08,0.00018,59205.65,0.29241,2024-07-13 23:59:34.245000
4,59199.87,1.9215,59199.88,3.86025,59199.19,0.00018,59200.0,0.08318,59199.13,9e-05,59200.2,0.00169,59198.08,0.00043,59201.37,0.086,59198.0,0.083,59201.38,0.14322,59197.99,0.0001,59201.39,0.00169,59197.83,0.23643,59202.0,0.083,59197.81,0.04886,59202.24,0.04223,59197.51,0.04224,59202.53,0.0761,59196.77,0.04693,59202.57,0.00169,59196.19,0.04983,59202.62,0.0763,59196.0,0.083,59202.85,0.00016,59195.56,0.05607,59203.76,0.00169,59195.44,0.1126,59204.0,0.083,59195.05,0.06442,59204.21,0.2364,59194.63,0.0034,59204.94,0.00169,59194.08,0.00018,59205.12,0.00018,59194.0,0.083,59205.39,0.00013,59193.86,0.22507,59205.59,0.17554,59193.73,0.04222,59205.65,0.29241,2024-07-13 23:59:34.345000
5,59199.87,1.9215,59199.88,3.86031,59199.19,0.00018,59200.0,0.08318,59199.1,9e-05,59200.2,0.00169,59198.94,0.05804,59201.37,0.086,59198.09,0.00065,59201.38,0.14322,59198.08,0.00043,59201.39,0.00169,59198.0,0.083,59202.0,0.083,59197.99,0.0001,59202.24,0.04223,59197.83,0.23643,59202.53,0.0761,59197.81,0.04886,59202.57,0.00169,59197.51,0.04224,59202.62,0.0763,59196.77,0.04693,59202.85,0.00016,59196.19,0.04983,59203.76,0.00169,59196.0,0.083,59204.0,0.083,59195.56,0.05607,59204.21,0.2364,59195.44,0.1126,59204.94,0.00169,59195.05,0.06442,59205.12,0.00018,59194.63,0.0034,59205.39,0.00013,59194.08,0.00018,59205.59,0.17554,59194.0,0.083,59205.65,0.29241,2024-07-13 23:59:34.445000
6,59199.87,1.9215,59199.88,3.86031,59199.19,0.00018,59200.0,0.08318,59199.18,9e-05,59200.2,0.00169,59198.08,0.00043,59201.37,0.086,59198.0,0.083,59201.38,0.14322,59197.99,0.0001,59201.39,0.00169,59197.83,0.23643,59202.0,0.083,59197.81,0.04886,59202.24,0.04223,59197.51,0.04224,59202.53,0.0761,59196.77,0.04693,59202.57,0.00169,59196.19,0.04983,59202.62,0.0763,59196.0,0.083,59202.85,0.05133,59195.56,0.05607,59203.76,0.00169,59195.44,0.1126,59204.0,0.083,59194.63,0.0034,59204.21,0.2364,59194.08,0.00018,59204.94,0.00169,59194.0,0.083,59205.12,0.00018,59193.86,0.22507,59205.39,0.00013,59193.73,0.04222,59205.59,0.17554,59193.11,0.00169,59205.65,0.29241,2024-07-13 23:59:34.545000
7,59199.87,1.9215,59199.88,3.86031,59199.19,0.00018,59200.0,0.08318,59199.15,9e-05,59200.2,0.00169,59198.08,0.00043,59201.37,0.086,59198.0,0.083,59201.38,0.14322,59197.99,0.0001,59201.39,0.00169,59197.83,0.23643,59202.0,0.083,59197.81,0.04886,59202.24,0.04223,59197.51,0.04224,59202.53,0.0761,59196.77,0.04693,59202.57,0.00169,59196.19,0.04983,59202.62,0.0763,59196.0,0.083,59202.85,0.05133,59195.56,0.05607,59203.76,0.00169,59195.44,0.1126,59204.0,0.083,59194.63,0.0034,59204.21,0.2364,59194.08,0.00018,59204.94,0.00169,59194.0,0.083,59205.12,0.00018,59193.86,0.22507,59205.39,0.00013,59193.73,0.04222,59205.59,0.17554,59193.11,0.00169,59205.65,0.29241,2024-07-13 23:59:34.645000
8,59199.87,1.9215,59199.88,3.86031,59199.19,0.00018,59200.0,0.08318,59199.11,9e-05,59200.2,0.00169,59198.75,0.05727,59201.37,0.086,59198.08,0.00043,59201.38,0.14322,59198.0,0.083,59201.39,0.00169,59197.99,0.0001,59202.0,0.083,59197.83,0.23643,59202.24,0.04223,59197.81,0.04886,59202.53,0.0761,59197.51,0.04224,59202.57,0.00169,59196.77,0.04693,59202.62,0.0763,59196.19,0.04983,59202.85,0.05133,59196.0,0.083,59203.66,0.05667,59195.56,0.05607,59203.76,0.00169,59195.44,0.1126,59204.0,0.083,59194.63,0.0034,59204.21,0.2364,59194.61,0.06402,59204.94,0.00169,59194.08,0.00018,59205.12,0.00018,59194.0,0.083,59205.39,0.00013,59193.86,0.22507,59205.59,0.17554,2024-07-13 23:59:34.745000
9,59199.87,1.91991,59199.88,3.8604,59199.19,0.00018,59200.0,0.08318,59199.18,9e-05,59200.2,0.00169,59198.76,0.00219,59201.37,0.086,59198.75,0.05727,59201.38,0.14322,59198.74,9e-05,59201.39,0.00169,59198.08,0.00043,59202.0,0.083,59198.0,0.083,59202.24,0.04223,59197.99,0.0001,59202.53,0.0761,59197.83,0.23643,59202.57,0.00169,59197.81,0.04886,59202.62,0.0763,59197.51,0.04224,59202.85,0.05133,59196.77,0.04693,59203.66,0.05667,59196.19,0.04983,59203.76,0.00169,59196.0,0.083,59204.0,0.083,59195.56,0.05607,59204.21,0.2364,59195.44,0.1126,59204.94,0.00169,59194.63,0.0034,59205.12,0.00018,59194.61,0.06402,59205.39,0.00013,59194.08,0.00018,59205.59,0.17554,2024-07-13 23:59:34.845000
