,bid_prc1,bid_vol1,ask_prc1,ask_vol1,bid_prc2,bid_vol2,ask_prc2,ask_vol2,bid_prc3,bid_vol3,ask_prc3,ask_vol3,bid_prc4,bid_vol4,ask_prc4,ask_vol4,bid_prc5,bid_vol5,ask_prc5,ask_vol5,bid_prc6,bid_vol6,ask_prc6,ask_vol6,bid_prc7,bid_vol7,ask_prc7,ask_vol7,bid_prc8,bid_vol8,ask_prc8,ask_vol8,bid_prc9,bid_vol9,ask_prc9,ask_vol9,bid_prc10,bid_vol10,ask_prc10,ask_vol10,bid_prc11,bid_vol11,ask_prc11,ask_vol11,bid_prc12,bid_vol12,ask_prc12,ask_vol12,bid_prc13,bid_vol13,ask_prc13,ask_vol13,bid_prc14,bid_vol14,ask_prc14,ask_vol14,bid_prc15,bid_vol15,ask_prc15,ask_vol15,bid_prc16,bid_vol16,ask_prc16,ask_vol16,bid_prc17,bid_vol17,ask_prc17,ask_vol17,bid_prc18,bid_vol18,ask_prc18,ask_vol18,bid_prc19,bid_vol19,ask_prc19,ask_vol19,bid_prc20,bid_vol20,ask_prc20,ask_vol20,date
0,59221.38,0.0084,59225.35,0.03118,59219.71,0.00017,59225.41,0.07487,59219.7,0.00506,59225.42,0.018,59219.68,0.00748,59225.95,0.00012,59219.54,0.00012,59225.99,0.00852,59218.62,0.0001,59226.0,0.0319,59218.46,0.03952,59226.92,0.00012,59218.0,0.0319,59227.98,0.02515,59217.34,0.00012,59227.99,0.01871,59216.4,0.0001,59228.0,0.0319,59216.34,0.07323,59229.11,0.00012,59216.33,0.03994,59229.97,0.0001,59216.0,0.0319,59229.98,0.07977,59215.66,0.05012,59230.0,0.0319,59215.0,0.02533,59230.33,0.018,59214.8,0.00592,59230.46,0.018,59214.56,0.0001,59231.08,0.03922,59214.4,0.00012,59231.1,0.06753,59214.0,0.0336,59231.61,0.0001,59213.48,0.05034,59232.0,0.0336,2024-07-13 23:59:33.945000
1,59219.71,0.00017,59225.05,0.03118,59219.7,0.00506,59225.16,0.0001,59219.68,0.00748,59225.17,0.13997,59219.54,0.00012,59225.23,0.018,59219.48,0.04057,59225.42,0.018,59218.62,0.0001,59225.95,0.00012,59218.47,0.04291,59225.99,0.00842,59218.46,0.03952,59226.0,0.0319,59218.0,0.0319,59226.92,0.00012,59217.34,0.00012,59227.98,0.0001,59216.4,0.0001,59227.99,0.01871,59216.34,0.07323,59228.0,0.0319,59216.33,0.03994,59229.11,0.00012,59216.0,0.0319,59229.97,0.04788,59215.66,0.05012,59230.0,0.0319,59215.0,0.02533,59230.33,0.018,59214.8,0.00592,59230.96,0.00013,59214.56,0.0001,59231.08,0.03922,59214.4,0.00012,59231.1,0.06753,59214.0,0.0336,59231.61,0.0001,2024-07-13 23:59:34.045000
2,59219.71,0.00017,59224.81,0.03118,59219.7,0.00506,59224.87,0.09344,59219.68,0.00748,59224.93,0.018,59219.54,0.00012,59225.22,0.0001,59218.62,0.0001,59225.23,0.018,59218.47,0.04291,59225.42,0.018,59218.46,0.03952,59225.95,0.00012,59218.0,0.0319,59226.0,0.0319,59217.34,0.00012,59226.92,0.00012,59216.4,0.0001,59227.98,0.00518,59216.34,0.03014,59227.99,0.01024,59216.33,0.03994,59228.0,0.0319,59216.0,0.0319,59229.11,0.00012,59215.66,0.05012,59229.96,0.0001,59215.0,0.02533,59229.97,0.04788,59214.8,0.00592,59230.0,0.0319,59214.56,0.0001,59230.96,0.00013,59214.4,0.00012,59231.08,0.03922,59214.0,0.0336,59231.1,0.06753,59213.48,0.05034,59231.61,0.0001,2024-07-13 23:59:34.145000
3,59219.71,0.00017,59224.57,0.03118,59219.7,0.00506,59224.63,0.08504,59219.68,0.00748,59224.69,0.018,59219.54,0.00012,59224.92,0.0001,59219.38,0.04072,59224.93,0.018,59218.62,0.0001,59225.23,0.018,59218.47,0.04291,59225.95,0.00012,59218.46,0.03952,59226.0,0.0319,59218.0,0.0319,59226.92,0.00012,59217.34,0.00012,59227.98,0.00518,59216.4,0.0001,59227.99,0.01024,59216.34,0.03014,59228.0,0.0319,59216.33,0.03994,59228.77,0.0001,59216.0,0.0319,59228.78,0.04108,59215.0,0.02533,59229.11,0.00012,59214.8,0.00592,59229.97,0.04788,59214.56,0.0001,59230.0,0.0319,59214.4,0.00012,59230.96,0.00013,59214.0,0.0336,59231.08,0.03922,59213.37,0.00013,59231.1,0.06753,2024-07-13 23:59:34.245000
4,59219.71,0.00017,59224.42,0.00518,59219.7,0.00506,59224.43,0.026,59219.68,0.00748,59224.44,0.08075,59219.54,0.00012,59224.45,0.018,59219.38,0.04072,59224.68,0.0001,59218.62,0.0001,59224.69,0.018,59218.46,0.03952,59224.93,0.018,59218.0,0.0319,59226.0,0.0319,59217.34,0.00012,59226.92,0.00012,59216.4,0.0001,59227.98,0.00518,59216.34,0.03014,59227.99,0.03505,59216.33,0.03994,59228.0,0.0319,59216.0,0.0319,59228.78,0.04108,59215.0,0.02533,59229.11,0.00012,59214.8,0.00592,59229.97,0.04788,59214.56,0.0001,59230.0,0.0319,59214.4,0.00012,59230.96,0.00013,59214.0,0.0336,59231.08,0.03922,59213.37,0.00013,59231.1,0.06753,59212.01,0.0202,59231.61,0.0001,2024-07-13 23:59:34.345000
5,59219.71,0.00017,59224.28,0.0053,59219.7,0.00506,59224.29,0.08595,59219.68,0.00748,59224.3,0.018,59219.54,0.00012,59224.4,0.00518,59219.38,0.04072,59224.45,0.018,59218.62,0.0001,59224.69,0.018,59218.46,0.03952,59226.0,0.0319,59218.0,0.0319,59226.92,0.00012,59217.34,0.00012,59227.97,0.0001,59216.4,0.0001,59227.99,0.03495,59216.34,0.03014,59228.0,0.0319,59216.33,0.03994,59228.78,0.04108,59216.0,0.0319,59229.11,0.00012,59215.0,0.02533,59229.96,0.0001,59214.8,0.00592,59229.97,0.04788,59214.56,0.0001,59230.0,0.0319,59214.4,0.00012,59230.96,0.00013,59214.0,0.0336,59231.08,0.03922,59213.37,0.00013,59231.1,0.06753,59212.01,0.0202,59231.61,0.0001,2024-07-13 23:59:34.445000
6,59219.71,0.00017,59224.15,0.00518,59219.7,0.00506,59224.16,0.018,59219.68,0.00748,59224.26,0.00518,59219.54,0.00012,59224.28,0.0872,59218.62,0.0001,59224.3,0.018,59218.46,0.03952,59224.44,0.0001,59218.0,0.0319,59224.45,0.018,59217.34,0.00012,59226.0,0.0319,59216.4,0.0001,59226.92,0.00012,59216.34,0.03014,59227.97,0.00518,59216.33,0.03994,59227.99,0.01024,59216.0,0.0319,59228.0,0.0319,59215.0,0.02533,59228.77,0.0001,59214.8,0.00592,59228.78,0.04108,59214.56,0.0001,59229.11,0.00012,59214.4,0.00012,59229.97,0.04788,59214.0,0.0336,59230.0,0.0319,59213.37,0.00013,59230.96,0.00013,59212.01,0.0202,59231.08,0.03922,59212.0,0.0336,59231.1,0.06753,2024-07-13 23:59:34.545000
7,59219.71,0.00017,59224.11,0.00518,59219.7,0.00506,59224.12,0.026,59219.68,0.00748,59224.13,0.05438,59219.54,0.00012,59224.16,0.018,59218.62,0.0001,59224.28,0.00012,59218.46,0.03952,59224.3,0.018,59218.0,0.0319,59224.45,0.018,59217.34,0.00012,59225.99,0.0001,59216.4,0.0001,59226.0,0.0319,59216.34,0.03014,59226.92,0.00012,59216.33,0.03994,59227.97,0.00518,59216.0,0.0319,59227.99,0.03491,59215.0,0.02533,59228.0,0.0319,59214.8,0.00592,59228.77,0.0001,59214.56,0.0001,59228.78,0.04108,59214.4,0.00012,59229.11,0.00012,59214.0,0.0336,59229.97,0.04788,59213.37,0.00013,59230.0,0.0319,59212.01,0.0202,59230.96,0.00013,59212.0,0.0336,59231.08,0.03922,2024-07-13 23:59:34.645000
8,59219.71,0.00017,59223.98,0.00518,59219.68,0.00748,59223.99,0.018,59219.54,0.00012,59224.11,0.04804,59218.63,0.00506,59224.16,0.018,59218.62,0.0001,59224.28,0.00012,59218.46,0.03952,59224.3,0.018,59218.0,0.0319,59226.0,0.0319,59217.34,0.00012,59226.92,0.00012,59216.4,0.0001,59227.97,0.00518,59216.34,0.03014,59227.98,0.0001,59216.33,0.03994,59227.99,0.03491,59216.0,0.0319,59228.0,0.0319,59215.0,0.02533,59228.78,0.04108,59214.8,0.00592,59229.11,0.00012,59214.56,0.0001,59229.96,0.0001,59214.4,0.00012,59229.97,0.04788,59214.0,0.0336,59230.0,0.0319,59213.37,0.00013,59230.96,0.00013,59212.01,0.0202,59231.08,0.03922,59212.0,0.0336,59231.1,0.06753,2024-07-13 23:59:34.745000
9,59219.71,0.00017,59223.96,0.00518,59219.68,0.00748,59223.97,0.026,59219.54,0.00012,59223.98,0.06127,59218.63,0.00506,59223.99,0.018,59218.62,0.0001,59224.16,0.018,59218.46,0.03952,59224.28,0.00012,59218.0,0.0319,59224.3,0.018,59217.34,0.00012,59225.99,0.0001,59216.4,0.0001,59226.0,0.0319,59216.34,0.03014,59226.92,0.00012,59216.33,0.03994,59227.97,0.00518,59216.0,0.0319,59227.99,0.01024,59215.0,0.02533,59228.0,0.0319,59214.8,0.00592,59228.77,0.0001,59214.56,0.0001,59228.78,0.04108,59214.4,0.00012,59229.11,0.00012,59214.0,0.0336,59229.97,0.04788,59213.37,0.00013,59230.0,0.0319,59212.01,0.0202,59230.96,0.00013,59212.0,0.0336,59231.08,0.03922,2024-07-13 23:59:34.845000
