,bid_prc1,bid_vol1,ask_prc1,ask_vol1,bid_prc2,bid_vol2,ask_prc2,ask_vol2,bid_prc3,bid_vol3,ask_prc3,ask_vol3,bid_prc4,bid_vol4,ask_prc4,ask_vol4,bid_prc5,bid_vol5,ask_prc5,ask_vol5,bid_prc6,bid_vol6,ask_prc6,ask_vol6,bid_prc7,bid_vol7,ask_prc7,ask_vol7,bid_prc8,bid_vol8,ask_prc8,ask_vol8,bid_prc9,bid_vol9,ask_prc9,ask_vol9,bid_prc10,bid_vol10,ask_prc10,ask_vol10,bid_prc11,bid_vol11,ask_prc11,ask_vol11,bid_prc12,bid_vol12,ask_prc12,ask_vol12,bid_prc13,bid_vol13,ask_prc13,ask_vol13,bid_prc14,bid_vol14,ask_prc14,ask_vol14,bid_prc15,bid_vol15,ask_prc15,ask_vol15,bid_prc16,bid_vol16,ask_prc16,ask_vol16,bid_prc17,bid_vol17,ask_prc17,ask_vol17,bid_prc18,bid_vol18,ask_prc18,ask_vol18,bid_prc19,bid_vol19,ask_prc19,ask_vol19,bid_prc20,bid_vol20,ask_prc20,ask_vol20,date
0,59257.32,0.00843,59257.33,0.01083,59252.87,0.00608,59263.26,0.00423,59246.63,0.01194,59263.27,0.00013,59246.62,0.03303,59269.21,0.00013,59246.44,0.00974,59273.14,0.00599,59245.83,0.00013,59273.15,0.00996,59239.87,0.00013,59275.0,0.00013,59233.91,0.00013,59275.15,0.00013,59231.58,0.01216,59280.1,0.00253,59231.57,0.03376,59281.09,0.00013,59227.95,0.00013,59283.34,0.00345,59227.15,0.00013,59287.03,0.00013,59221.99,0.00013,59292.71,0.01019,59216.03,0.00013,59292.72,0.01687,59210.07,0.00013,59292.74,0.00252,59204.11,0.00013,59292.97,0.00013,59200.0,0.00025,59294.92,0.00822,59198.15,0.00013,59298.91,0.00013,59197.39,0.00013,59304.14,0.00013,59192.19,0.00013,59304.85,0.00013,2024-07-13 23:59:33.945000
1,59257.32,0.00843,59257.33,0.01083,59246.63,0.01194,59263.26,0.00423,59246.62,0.03303,59263.27,0.00013,59246.44,0.00974,59269.21,0.00013,59245.83,0.00013,59273.14,0.00599,59239.87,0.00013,59273.15,0.00996,59233.91,0.00013,59275.0,0.00013,59231.58,0.01216,59275.15,0.00013,59231.57,0.03376,59280.1,0.00253,59227.95,0.00013,59281.09,0.00013,59227.15,0.00013,59283.34,0.00345,59221.99,0.00013,59287.03,0.00013,59216.03,0.00013,59292.71,0.01019,59210.07,0.00013,59292.72,0.01687,59204.11,0.00013,59292.74,0.00252,59200.0,0.00025,59292.97,0.00013,59198.15,0.00013,59294.92,0.00822,59197.39,0.00013,59298.91,0.00013,59192.19,0.00013,59304.14,0.00013,59186.23,0.00013,59304.85,0.00013,2024-07-13 23:59:34.045000
2,59257.32,0.00843,59257.33,0.01083,59246.63,0.01194,59263.26,0.00423,59246.62,0.03303,59263.27,0.00013,59246.44,0.00974,59269.21,0.00013,59245.83,0.00013,59273.13,0.00422,59239.87,0.00013,59273.14,0.00599,59233.91,0.00013,59273.15,0.00996,59231.58,0.01216,59275.0,0.00013,59231.57,0.03376,59275.15,0.00013,59227.95,0.00013,59280.1,0.00253,59227.15,0.00013,59281.09,0.00013,59221.99,0.00013,59283.34,0.00345,59216.03,0.00013,59287.03,0.00013,59210.07,0.00013,59292.71,0.01019,59204.11,0.00013,59292.72,0.01687,59200.0,0.00025,59292.74,0.00252,59198.15,0.00013,59292.97,0.00013,59197.39,0.00013,59294.92,0.00822,59192.19,0.00013,59298.91,0.00013,59186.23,0.00013,59304.14,0.00013,2024-07-13 23:59:34.145000
3,59257.32,0.00843,59257.33,0.01083,59246.63,0.01194,59263.26,0.00423,59246.62,0.03303,59263.27,0.00013,59246.44,0.00974,59269.21,0.00013,59245.83,0.00013,59273.14,0.00599,59239.87,0.00013,59273.15,0.00996,59233.91,0.00013,59275.0,0.00013,59231.58,0.01216,59275.15,0.00013,59231.57,0.03376,59280.1,0.00253,59227.95,0.00013,59281.09,0.00013,59227.15,0.00013,59283.34,0.00345,59221.99,0.00013,59287.03,0.00013,59216.03,0.00013,59292.71,0.01019,59210.07,0.00013,59292.72,0.01687,59204.11,0.00013,59292.74,0.00252,59200.0,0.00025,59292.97,0.00013,59198.15,0.00013,59294.92,0.00822,59197.39,0.00013,59298.91,0.00013,59192.19,0.00013,59304.14,0.00013,59186.23,0.00013,59304.85,0.00013,2024-07-13 23:59:34.445000
4,59257.32,0.00843,59257.33,0.01083,59246.63,0.01194,59263.26,0.00423,59246.62,0.03303,59263.27,0.00013,59246.44,0.00974,59269.21,0.00013,59245.83,0.00013,59273.14,0.00599,59239.87,0.00013,59273.15,0.00996,59233.91,0.00013,59275.0,0.00013,59231.58,0.01216,59275.15,0.00013,59231.57,0.03376,59280.1,0.00253,59227.95,0.00013,59281.09,0.00013,59227.15,0.00013,59283.34,0.00345,59221.99,0.00013,59287.02,0.01409,59216.03,0.00013,59287.03,0.00013,59210.07,0.00013,59292.71,0.01019,59204.11,0.00013,59292.72,0.01687,59200.0,0.00025,59292.74,0.00252,59198.15,0.00013,59292.97,0.00013,59197.39,0.00013,59294.92,0.00822,59192.19,0.00013,59298.91,0.00013,59186.23,0.00013,59304.14,0.00013,2024-07-13 23:59:34.946000
5,59257.32,0.00843,59257.33,0.01083,59246.63,0.01194,59263.26,0.00423,59246.62,0.03303,59263.27,0.00013,59246.44,0.00974,59269.21,0.00013,59245.83,0.00013,59273.13,0.00422,59239.87,0.00013,59273.14,0.00599,59233.91,0.00013,59273.15,0.00996,59231.58,0.01216,59275.0,0.00013,59231.57,0.03376,59275.15,0.00013,59227.95,0.00013,59280.1,0.00253,59227.15,0.00013,59281.09,0.00013,59221.99,0.00013,59283.34,0.00345,59216.03,0.00013,59287.01,0.00847,59210.07,0.00013,59287.02,0.01409,59204.11,0.00013,59287.03,0.00013,59200.0,0.00025,59292.71,0.01019,59198.15,0.00013,59292.72,0.01687,59197.39,0.00013,59292.74,0.00252,59192.19,0.00013,59292.97,0.00013,59186.23,0.00013,59294.92,0.00822,2024-07-13 23:59:35.046000
6,59257.32,0.00843,59257.33,0.01083,59246.63,0.01194,59263.26,0.00423,59246.62,0.03303,59263.27,0.00013,59246.44,0.00974,59269.21,0.00013,59245.83,0.00013,59273.13,0.00422,59239.87,0.00013,59273.14,0.00599,59233.91,0.00013,59273.15,0.00996,59231.58,0.01216,59275.0,0.00013,59231.57,0.03376,59275.15,0.00013,59227.95,0.00013,59280.1,0.00253,59227.15,0.00013,59281.09,0.00013,59221.99,0.00013,59283.34,0.00345,59216.03,0.00013,59287.01,0.00847,59210.07,0.00013,59287.03,0.00013,59204.11,0.00013,59292.71,0.01019,59200.0,0.00025,59292.72,0.01687,59198.15,0.00013,59292.74,0.00252,59197.39,0.00013,59292.97,0.00013,59192.19,0.00013,59294.92,0.00822,59186.23,0.00013,59298.91,0.00013,2024-07-13 23:59:35.346000
7,59257.32,0.00843,59257.33,0.01083,59246.63,0.01194,59263.26,0.00423,59246.62,0.03303,59263.27,0.00013,59246.44,0.00974,59269.21,0.00013,59245.83,0.00013,59273.13,0.00422,59239.87,0.00013,59273.14,0.00599,59233.91,0.00013,59273.15,0.00996,59231.58,0.01216,59275.0,0.00013,59231.57,0.03376,59275.15,0.00013,59227.95,0.00013,59280.1,0.00253,59227.15,0.00013,59281.09,0.00013,59221.99,0.00013,59283.34,0.00345,59216.03,0.00013,59287.03,0.00013,59210.07,0.00013,59292.71,0.01019,59204.11,0.00013,59292.72,0.01687,59200.0,0.00025,59292.74,0.00252,59198.15,0.00013,59292.97,0.00013,59197.39,0.00013,59294.92,0.00822,59192.19,0.00013,59298.91,0.00013,59186.23,0.00013,59304.14,0.00013,2024-07-13 23:59:35.446000
8,59257.32,0.00843,59257.33,0.01083,59246.63,0.01194,59263.26,0.00423,59246.62,0.03303,59263.27,0.00013,59246.44,0.00974,59267.03,0.00986,59245.83,0.00013,59269.21,0.00013,59239.87,0.00013,59273.13,0.00422,59233.91,0.00013,59273.14,0.00599,59231.58,0.01216,59273.15,0.00996,59231.57,0.03376,59275.0,0.00013,59227.95,0.00013,59275.15,0.00013,59227.15,0.00013,59280.1,0.00253,59221.99,0.00013,59281.09,0.00013,59216.03,0.00013,59283.34,0.00345,59210.07,0.00013,59287.03,0.00013,59204.11,0.00013,59292.71,0.01019,59200.0,0.00025,59292.72,0.01687,59198.15,0.00013,59292.74,0.00252,59197.39,0.00013,59292.97,0.00013,59192.19,0.00013,59294.92,0.00822,59186.23,0.00013,59298.91,0.00013,2024-07-13 23:59:36.246000
9,59257.32,0.00843,59257.33,0.01083,59246.63,0.01194,59263.26,0.00423,59246.62,0.03303,59263.27,0.00013,59246.44,0.00974,59267.02,0.00891,59245.83,0.00013,59267.03,0.00986,59239.87,0.00013,59269.21,0.00013,59233.91,0.00013,59273.15,0.00996,59231.58,0.01216,59275.0,0.00013,59231.57,0.03376,59275.15,0.00013,59227.95,0.00013,59280.1,0.00253,59227.15,0.00013,59281.09,0.00013,59221.99,0.00013,59283.34,0.00345,59216.03,0.00013,59287.03,0.00013,59210.07,0.00013,59292.71,0.01019,59204.11,0.00013,59292.72,0.01687,59200.0,0.00025,59292.74,0.00252,59198.15,0.00013,59292.97,0.00013,59197.39,0.00013,59294.92,0.00822,59192.19,0.00013,59298.91,0.00013,59186.23,0.00013,59304.14,0.00013,2024-07-13 23:59:36.346000
